mcs_dl_1,mcs_ul_1,dl_kbps_1,ul_kbps_1,cpu_1
15,12,2280,6968,0.66
15,10,12576,136,0.64
5,0,144,376,0.72
10,4,2984,56,0.54
13,8,9528,4968,0.57
6,1,4392,632,0.61
13,8,1128,1384,0.67
11,6,4264,4776,0.57
6,1,4392,376,0.65
8,4,3240,3496,0.55
7,2,3112,1288,0.63
22,19,2344,14688,0.64
24,20,10296,10296,0.78
5,0,328,1320,0.54
15,9,2280,6712,0.72
7,2,4584,2088,0.62
18,15,14112,5544,0.68
4,0,1544,904,0.56
8,2,5736,1064,0.5
3,0,2408,392,0.66
5,0,2344,504,0.64
15,12,4968,7736,0.59
20,17,4008,13536,0.65
15,12,8760,9528,0.67
2,0,840,504,0.71
20,17,1160,11832,0.58
3,0,680,904,0.65
10,4,7736,3624,0.6
8,2,3368,872,0.6
20,17,3112,10680,0.57
13,8,9912,1928,0.52
24,20,4776,19848,0.66
2,0,1800,120,0.7
15,11,13536,3112,0.71
19,17,12960,5160,0.59
15,9,13536,7736,0.63
8,2,3368,1192,0.53
11,6,5736,3880,0.7
2,0,1192,32,0.72
18,15,13536,4008,0.71
22,19,16992,10296,0.63
15,10,1736,1416,0.57
13,8,9144,2984,0.5
20,18,18336,12576,0.75
15,9,10296,2216,0.71
15,9,8248,7480,0.7
5,0,1736,840,0.54
26,20,20616,15264,0.72
15,12,3112,1608,0.7
13,7,4136,3240,0.74
19,17,2152,7992,0.61
15,9,552,3368,0.66
19,17,10296,3624,0.58
26,20,4968,17568,0.67
7,2,1224,1000,0.72
2,0,1544,1256,0.59
7,2,1480,616,0.51
18,14,9144,7224,0.55
15,9,9528,3112,0.75
13,8,9528,4584,0.67
15,12,11832,1608,0.69
10,4,2216,3112,0.76
20,17,16992,5736,0.61
26,20,12960,15264,0.72
25,20,9144,7224,0.58
22,19,11448,11448,0.61
4,0,1928,744,0.53
15,10,6200,4776,0.51
15,10,8248,7992,0.68
8,2,3368,1480,0.63
15,12,10680,9144,0.69
13,8,904,4584,0.58
4,0,1480,1352,0.54
15,12,12216,5992,0.59
8,2,680,1064,0.55
13,7,11064,3368,0.65
15,9,13536,136,0.56
15,11,13536,3112,0.74
4,0,120,840,0.66
18,15,9144,840,0.6
15,11,7480,2280,0.61
20,17,9912,12576,0.65
15,12,1992,6968,0.55
18,14,9912,1256,0.57
8,2,3368,2216,0.73
